STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,reportType,HourlySkyConditions,HourlyVisibility,HourlyPresentWeatherType,HourlyDryBulbTemperatureF,HourlyDryBulbTemperatureC,HourlyWetBulbTemperatureF,HourlyWetBulbTemperatureC,HourlyDewPointTemperatureF,HourlyDewPointTemperatureC,HourlyRelativeHumidity,HourlyWindSpeed,HourlyWindDirection,HourlyWindGustSpeed,HourlyStationPressure,HourlyPressureTendency,HourlyPressureChange,HourlySeaLevelPressure,HourlyPrecipitation,HourlyAltimeterSetting,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyAverageDryBulbTemperature,DailyDepartureFromNormalAverageTemperature,DailyAverageRelativeHumidity,DailyAverageDewPointTemperature,DailyAverageWetBulbTemperature,DailyHeatingDegreeDays,DailyCoolingDegreeDays,DailySunrise,DailySunset,DailyPrecipitation,DailySnowfall,DailySnowDepth,DailyAverageStationPressure,DailyAverageSeaLevelPressure,DailyAverageWindSpeed,DailyPeakWindSpeed,PeakWindDirection,DailySustainedWindSpeed,DailySustainedWindDirection,MonthlyMaximumTemperature,MonthlyMinimumTemperature,MonthlyMeanTemperature,MonthlyAverageRH,MonthlyDewpointTemperature,MonthlyWetBulb,MonthlyHeatingDegreeDays,MonthlyCoolingDegreeDays,MonthlyStationPressure,MonthlySeaLevelPressure,MonthlyAverageWindSpeed,MonthlyTotalSnowfall,MonthlyDepartureFromNormalMaximumTemperature,MonthlyDepartureFromNormalMinimumTemperature,MonthlyDepartureFromNormalAverageTemperature,MonthlyDepartureFromNormalPrecipitation,MonthlyTotalLiquidPrecipitation,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT32Temp,MonthlyDaysWithGT32Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureValueDate,MonthlyMaxSeaLevelPressureValueTime,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureValueDate,MonthlyMinSeaLevelPressureValueTime,MonthlyTotalHeatingDegreeDays,MonthlyTotalCoolingDegreeDays,MonthlyDepartureFromNormalHeatingDD,MonthlyDepartureFromNormalCoolingDD
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,2014-03-01 00:51,FM-15,SCT:04 70 OVC:08 90,10.00,,30,-1.1,26,-3.4,16,-8.9,56,9,330,,29.28,,,30.02,,30.00,,,,,,,,,,1227,2342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,2014-03-01 01:51,FM-15,OVC:08 50,10.00,,30,-1.1,26,-3.3,17,-8.3,58,0,000,,29.27,,,30.02,,29.99,,,,,,,,,,1227,2342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,2014-03-01 02:51,FM-15,OVC:08 29,6.00,-SN:03 |SN:71 |,29,-1.7,26,-3.2,21,-6.1,72,8,330,,29.28,1,-0.03,30.02,0.01s,30.00,,,,,,,,,,1227,2342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,2014-03-01 03:51,FM-15,VV:09 9,0.75,-SN:03 |SN:71 |,28,-2.2,26,-3.3,23,-5.0,81,0,000,,29.29,,,30.04,0.03,30.01,,,,,,,,,,1227,2342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,2014-03-01 04:51,FM-15,OVC:08 8,10.00,,26,-3.3,24,-4.5,20,-6.7,78,11,350,,29.32,,,30.06,0.01,30.04,,,,,,,,,,1227,2342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,2014-03-01 05:51,FM-15,BKN:07 10 OVC:08 20,10.00,,25,-3.9,22,-5.3,17,-8.3,72,11,360,,29.35,3,-0.07,30.09,,30.07,,,,,,,,,,1227,2342,0.06,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,2014-03-01 06:51,FM-15,BKN:07 12 OVC:08 20,5.00,HZ:7 |FU:05 |HZ:05,23,-5.0,21,-6.4,15,-9.4,72,7,360,,29.37,,,30.12,,30.09,,,,,,,,,,1227,2342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,2014-03-01 07:51,FM-15,BKN:07 14 OVC:08 25,10.00,,21,-6.1,18,-7.5,12,-11.1,68,11,360,,29.42,,,30.17,,30.14,,,,,,,,,,1227,2342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,2014-03-01 08:51,FM-15,OVC:08 27,9.00,,21,-6.1,18,-7.6,11,-11.7,65,9,360,,29.45,2,-0.09,30.19,,30.17,,,,,,,,,,1227,2342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,2014-03-01 09:51,FM-15,SCT:04 27 OVC:08 35,10.00,,21,-6.1,18,-7.7,10,-12.2,62,9,360,,29.46,,,30.21,,30.18,,,,,,,,,,1227,2342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,2014-03-01 10:51,FM-15,BKN:07 35 OVC:08 150,10.00,,21,-6.1,18,-7.8,9,-12.8,59,11,340,,29.49,,,30.24,,30.21,,,,,,,,,,1227,2342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,2014-03-01 11:51,FM-15,SCT:04 45 BKN:07 65 OVC:08 80,10.00,,21,-6.1,18,-8.0,7,-13.9,54,9,360,,29.49,1,-0.04,30.24,T,30.21,,,,,,,,,,1227,2342,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,2014-03-01 12:51,FM-15,BKN:07 45 BKN:07 100,10.00,,22,-5.6,18,-7.6,6,-14.4,50,10,340,,29.50,,,30.25,T,30.22,,,,,,,,,,1227,2342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,2014-03-01 13:51,FM-15,BKN:07 55 BKN:07 75 OVC:08 150,10.00,,22,-5.6,19,-7.5,8,-13.3,55,8,010,,29.47,,,30.22,,30.19,,,,,,,,,,1227,2342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,2014-03-01 14:51,FM-15,FEW:02 25 BKN:07 60 OVC:08 150,10.00,-SN:03 |SN:71 |,20,-6.7,17,-8.2,10,-12.2,65,13,350,,29.51,3,-0.01,30.26,T,30.23,,,,,,,,,,1227,2342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,2014-03-01 15:51,FM-15,BKN:07 18 OVC:08 50,6.00,-SN:03 |SN:71 |,18,-7.8,16,-9.1,9,-12.8,68,14,360,,29.50,,,30.25,T,30.22,,,,,,,,,,1227,2342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,2014-03-01 16:51,FM-15,SCT:04 12 BKN:07 30 OVC:08 60,5.00,-SN:03 |SN:71 |,16,-8.9,14,-9.9,9,-12.8,74,9,360,,29.53,,,30.29,0.03,30.25,,,,,,,,,,1227,2342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,2014-03-01 17:51,FM-15,VV:09 10,0.50,SN:03 |SN:72 s |,15,-9.4,13,-10.5,8,-13.3,74,9,010,,29.54,0,-0.01,30.30,0.060.05s,30.26,,,,,,,,,,1227,2342,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,2014-03-01 18:51,FM-15,VV:09 11,1.00,-SN:03 |SN:71 |,14,-10.0,12,-10.9,8,-13.3,77,9,350,,29.56,,,30.32,0.04,30.28,,,,,,,,,,1226,2343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,2014-03-01 19:51,FM-15,OVC:08 17,1.50,-SN:03 |SN:71 |,13,-10.6,11,-11.5,6,-14.4,74,9,360,,29.56,,,30.32,0.03,30.28,,,,,,,,,,1226,2343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,2014-03-01 20:51,FM-15,OVC:08 25,2.00,-SN:03 |SN:71 |,12,-11.1,11,-11.9,6,-14.4,77,11,350,,29.59,3,-0.04,30.35,0.02,30.31,,,,,,,,,,1226,2343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,2014-03-01 21:51,FM-15,VV:09 15,0.75,-SN:03 |SN:71 |,11,-11.7,10,-12.5,5,-15.0,77,13,350,,29.59,,,30.35,0.02,30.31,,,,,,,,,,1226,2343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,2014-03-01 22:51,FM-15,BKN:07 20 OVC:08 31,2.00,-SN:03 |SN:71 |,11,-11.7,9,-12.6,4,-15.6,73,10,350,,29.57,,,30.34,0.02,30.30,,,,,,,,,,1226,2343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,2014-03-01 23:51,FM-15,OVC:08 34,2.50,-SN:03 |SN:71 |,11,-11.7,9,-12.7,3,-16.1,70,11,360,,29.57,8,+0.01,30.33,0.020.03s,30.29,31,11,21,-11.8,,,,44,0,1226,2343,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,2014-03-01 23:59,SOD,,,,,,,,,,,,,,,,,,,,31,11,21,-11.8,68,,31,44,0,1226,2343,0.29,3.7,3,29,30,9,24,030,16,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,2014-03-02 00:51,FM-15,OVC:08 15,1.50,-SN:03 |SN:71 |,10,-12.2,8,-13.1,3,-16.1,73,10,340,,29.62,,,30.38,0.04,30.34,,,,,,,,,,1226,2343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,2014-03-02 01:51,FM-15,FEW:02 18 SCT:04 23 OVC:08 36,4.00,-SN:03 |SN:71 |,10,-12.2,8,-13.2,2,-16.7,69,9,010,,29.59,,,30.35,0.01,30.31,,,,,,,,,,1226,2343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,2014-03-02 02:51,FM-15,SCT:04 23 OVC:08 39,2.00,-SN:03 |SN:71 |,10,-12.2,8,-13.1,3,-16.1,73,8,360,,29.59,6,+0.03,30.35,0.03,30.31,,,,,,,,,,1226,2343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,2014-03-02 03:51,FM-15,OVC:08 45,4.00,-SN:03 |SN:71 |,9,-12.8,7,-13.7,1,-17.2,70,14,350,,29.59,,,30.36,0.01,30.31,,,,,,,,,,1226,2343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
