"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-01-01",,"41","26"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-01-02",,"45","24"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-01-03",,"51","38"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-01-04",,"40","34"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-01-05",,"38","31"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-01-06",,"38","28"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-01-07",,"38","35"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-01-08",,"49","35"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-01-09",,"37","22"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-01-10",,"31","24"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-01-11",,"28","22"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-01-12",,"34","20"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-01-13",,"35","29"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-01-14",,"37","28"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-01-15",,"42","33"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-01-16",,"40","30"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-01-17",,"41","31"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-01-18",,"39","33"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-01-19",,"41","30"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-01-20",,"35","27"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-01-21",,"32","27"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-01-22",,"33","25"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-01-23",,"36","30"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-01-24",,"38","24"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-01-25",,"38","21"
